cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
c4,mean,0.4127934824468489,0.04631486367634125,0.08660063339440308,0.17859141894822655,0.3614406827051659,0.4008811672062373,0.04631486367634125,0.08662269129287599,0.1786939313984169,0.3650496553913488,0.5193544564953829,0.481085575109326,0.07051102031130717,0.8942869821060359,539.1451187335092,1184.7467018469656,0.47671486234915533,0.7771607583265056,0.25342454124023367,0.39649675199360623,0.1640614224638767,0.3964967521639801,0.1640614224311125,0.6011228610834572,0.560713476266835,0.5508377753488829,0.5865624587647151,0.4028504351992611
c17,mean,0.4057249932632611,0.04470735098022526,0.08269327886061226,0.1746617175400068,0.36496153067628684,0.3818991861009553,0.04469656992084432,0.08269129287598945,0.1746613896218118,0.3688083456979105,0.3557959062101497,0.5032166923829501,NaN,0.9152586058445495,543.6939313984169,1300.4230430958662,0.48098963831238556,0.7750995196174933,0.31294994477467575,0.15539802171997627,0.11450916892712118,0.15539802163642755,0.11450916872070668,0.5863460525430298,0.5650522251075017,0.5599260192656229,0.5360365673548666,0.4262507048351592
c18,mean,0.25435271441575036,0.042516702780787285,0.07815320548386467,0.13716078344661722,0.23090663342759113,0.2745786025155673,0.0425,0.07813380281690141,0.13602560630052501,0.23124919784982081,0.1383344934032159,0.4177708301936948,-0.015372498585152482,0.8621588638374817,360.13204225352115,1127.237676056338,0.3026104908620257,0.7268635353063307,0.16376829334194715,0.22097397181139866,0.1360066792481697,0.22097397094566218,0.1360066791104389,0.5282984216921246,0.5163836230410633,0.518960926651458,0.585728862504779,0.37352171197512746
c19,mean,0.4037359039246034,0.04218117854001759,0.0715169267921828,0.15048624047999803,0.3240564095118419,0.4244085773313763,0.04218117854001759,0.07154793315743184,0.1504925241864556,0.32581002638522427,0.39406307922628786,0.47257822787138964,0.13921148348589993,0.9294464635190285,650.1776605101144,1412.5171503957783,0.5011130306591013,0.7512529156685814,0.4177071947128108,0.7515017467705745,0.2225657209308397,0.7515017470326881,0.2225657210094738,0.519868592146006,0.5095512036566471,0.5124264273044914,0.4807276460102384,0.387747753438701
c20,mean,0.3881083087726263,0.03840285301552908,0.07105434041300093,0.14741106716404034,0.3208398771023571,0.36009742286767843,0.03841549295774648,0.07107394366197183,0.147306338028169,0.33208284879618394,0.24618731041000444,0.3163943356828314,0.018579701058314937,0.919144721490449,530.175176056338,1340.4674295774648,0.43935453421860926,0.7625574164974829,0.19939607810538548,0.34681954538502113,0.16828852876837194,0.3468195466573914,0.16828852884051665,0.6408272478178932,0.5394724199067645,0.5491260724558619,0.28425910630112156,0.19664780700323292
c22,mean,0.4108201678086789,0.05071240105540898,0.07934479411264352,0.15343676991022742,0.3335957687614759,0.3926452425850032,0.05071240105540898,0.07934916446789797,0.15345646437994723,0.33568865435356204,0.3475242280764713,0.41875853743213826,0.07343498831325941,0.9285104627957589,611.5672823218997,1432.1978891820581,0.4681730064104458,0.744524068132966,0.25465392935056336,0.1699700776402402,0.11139162362486832,0.16997007759764673,0.11139162344466517,0.5644303042538923,0.5212416139310271,0.5241624760494722,0.3999623402468069,0.36424635489823604
c23,mean,0.26284092820290206,0.04352404385996034,0.08065832834208256,0.14805712435598153,0.24431399763684247,0.2760917783996412,0.043553210202286724,0.08047493403693931,0.14716010999652163,0.2504639079267354,0.26441332055629735,0.49298269851886506,0.04381741271806875,0.8825364597853086,351.50835532102025,1118.9445910290237,0.33048223409381255,0.7590342956887056,0.225268048986888,0.3958559300203332,0.15234707570458675,0.3958559289194558,0.15234707564561117,0.5304853380611695,0.5138226550915129,0.5138133726907127,0.5787311138987394,0.38266592118278675
c24,mean,0.41925035810983824,0.053510357603997076,0.09198271784416735,0.18407230153668558,0.3631884812873604,0.3988724961761057,0.05352682497801231,0.09200527704485488,0.1840699208443272,0.3625182488425019,0.4353660428002827,0.4742408510536474,0.053090116693555914,0.8961224600247781,559.3430079155672,1245.3693931398416,0.49159103332169596,0.777581998567307,0.2989980711387888,0.2011115287046424,0.1340228464247998,0.20111152935992654,0.13402284658862082,0.6318576636661306,0.5762491210726742,0.5727163940348199,0.632860512539241,0.42577940470090164
c31,mean,0.42962756756592907,0.058928077827437045,0.10746946131934823,0.20569920647157014,0.3720190909729912,0.39268171957482295,0.05892700087950749,0.10749340369393137,0.2057219882331733,0.3709187141381983,0.4214571650593847,0.4655737452918457,NaN,0.8934482769695156,549.1917326297273,1232.004397537379,0.4819569495515153,0.7752943541939734,0.32293459013609827,0.2831257021442881,0.12513287585612023,0.28312570116463837,0.12513287582335603,0.581749717080159,0.5498051082598671,0.5511510563758877,0.42796483189443263,0.39807318045438345
c38,mean,0.3928023656671825,0.04544014084507042,0.08512169605102428,0.17962401228948238,0.3498693183446078,0.35038050152909594,0.04544014084507042,0.08516725352112677,0.17973285996973576,0.3494459681643581,0.3862299440272308,0.42990155518463385,0.024253540543478436,0.9035535735383656,496.8882042253521,1267.525528169014,0.44468149845535176,0.7726735477823377,0.12279805375935762,0.12698715374949324,0.10339762279632646,0.1269871533363008,0.1033976226258026,0.6751295625867884,0.5800800622396349,0.5752059673179925,0.5617093214607397,0.3513047302296511
