cell_name,statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
c4,mean,0.3845181915029698,0.03725593667546174,0.07310496516216151,0.1273400928313136,0.32141552442161886,0.39378759969197147,0.03725593667546174,0.07310466138962182,0.12731310466138965,0.3248170659213449,0.512264689048517,0.5340046916613462,NaN,0.926180896543024,539.1451187335092,1253.5496921723834,0.5585048056797072,0.8271145121186053,0.20094846451780762,0.19805939872351883,0.15710753551049514,0.19805939871041314,0.1571075354711781,0.5436214822601718,0.5378045110920822,0.5241121963784714,0.45182024203474813,0.26600593589467864
c17,mean,0.40289547657231245,0.041657446023775066,0.082756830368542,0.14193925280707997,0.3473545207911067,0.3757661890932119,0.04165347405452946,0.0827528583992964,0.14193931398416887,0.35041539359807244,0.3551704495325136,0.5404388399554856,NaN,0.9443166837349721,543.6939313984169,1366.1433597185576,0.5613407151896703,0.8269000197373739,0.19894674992593858,0.16397442759760872,0.1496042059955622,0.16397442739447063,0.14960420606109062,0.511242921202473,0.5299299410799609,0.5209175034364222,0.4286385438886317,0.2584566736377567
c18,mean,0.2971386405487346,0.05013903936439148,0.0843486207348107,0.15317508904784546,0.26799100855136904,0.29593147854299345,0.05017018779342724,0.08428110328638498,0.15299589201877936,0.27193019085479037,0.1633957720009705,0.3871898097088084,NaN,0.8337665641137116,360.13204225352115,1014.580985915493,0.43621776900444914,0.80729721303142,0.12140324881193651,0.12975689354287068,0.10571943259548763,0.1297568934904018,0.10571943258892902,0.514788887373537,0.5223479964292798,0.522610686123785,0.23997029898339947,0.20607786265559241
c19,mean,0.44140054402672907,0.05082025539620715,0.08562654014793263,0.13920400077357833,0.3349560797430323,0.43224867318053817,0.0508179419525066,0.0856112576956904,0.13914427180038436,0.3344717054321262,0.41375134018014625,0.4936000179371303,NaN,0.940076305348914,650.1776605101144,1406.1908531222516,0.5879522066607522,0.8114611538586609,0.316561575460296,0.2055250116957314,0.17296087862424087,0.20552501165641435,0.17296087865045223,0.5338517554180213,0.6077822101241598,0.5374332150600765,0.6620582433421138,0.3477510188636154
c20,mean,0.3730724706891563,0.04898383893102203,0.0805087670304485,0.1344742238670338,0.3002046484403947,0.36010296319997614,0.04897887323943663,0.08044600938967135,0.13465815727699532,0.30258808514517527,0.2588470191083536,0.4263545261096578,NaN,0.9258296098940554,530.175176056338,1351.963028169014,0.5183455131873455,0.8125556857660876,0.15691796075986186,0.32742677125292763,0.13148609719986856,0.32742677092499717,0.13148609716707552,0.5047105918964492,0.5057156318190835,0.507234427692918,0.04940996394327743,0.12882976892448064
c22,mean,0.40322610490340066,0.04369588585947425,0.07612781150575328,0.12175457897646755,0.3070828049412557,0.39476825156535517,0.04369393139841689,0.07613016710642041,0.12176983225160336,0.30837841722188086,0.3553241275021596,0.4341165443503958,NaN,0.943505553661898,611.5672823218997,1447.2330694810905,0.5398067834482082,0.7991386075376486,0.17871953755770315,0.18283786054900475,0.13056410846473254,0.18283786060798032,0.13056410839265128,0.5021183212159327,0.5048450264509746,0.5025731588551396,0.2389452407956265,0.15899964730190472
c23,mean,0.2850833370572624,0.04404738805572979,0.08694167898100867,0.16245390536472928,0.2632061850739658,0.27614622148198165,0.04407410559763952,0.08686214429596846,0.16049451017107838,0.25661850264060215,0.25943861038353644,0.5269134987973282,NaN,0.9155407927654656,351.50835532102025,1170.2849604221635,0.42586921603803385,0.821589710649541,0.18637652480528316,0.4017303596359654,0.165486669064669,0.4017303600881114,0.16548666905811615,0.501558283034324,0.5030674466977472,0.5036135612781556,0.011630915369734346,0.14292568887384863
c24,mean,0.3996807517396214,0.04677557589026741,0.08028741243640473,0.1419775814805224,0.3287129161861543,0.3918534981273437,0.046772207563764295,0.08026385224274406,0.14186895338610375,0.3308703786748986,0.42378673681407747,0.49406632363590625,NaN,0.9331393679764863,559.3430079155672,1322.7326297273528,0.5531021433840726,0.8226996302206215,0.256906711964429,0.28317318985151846,0.17267523363901002,0.28317318994325824,0.17267523361279866,0.5058954848081908,0.5114618311546765,0.5120713754738859,0.08838647262413817,0.16024919323081155
c31,mean,0.39686390617106754,0.05357959542656112,0.08575376122704619,0.1383263930025216,0.32348958150820795,0.38234338261503426,0.05357959542656112,0.08574318381706245,0.13824098504837293,0.3253146826946585,0.4006100396970162,0.48479422729475496,NaN,0.9285569267408713,549.1917326297273,1321.343887423043,0.5397352568225986,0.8155211724869382,0.28988358167785766,0.35108464721036564,0.17013781208449955,0.3510846474790322,0.17013781211726375,0.5150015199931309,0.5241524201152719,0.5219555852592382,0.23630485020429834,0.2844824550822321
c38,mean,0.3576832940949072,0.045665943334425155,0.08785045621198014,0.13787645493828482,0.30279447091118805,0.34145075634827576,0.045616197183098596,0.08777288732394366,0.1377112676056338,0.3045465205838226,0.3659136774200422,0.4907998992120587,NaN,0.9419481165142881,496.8882042253521,1359.475352112676,0.5132386608764091,0.824229606361093,0.06594406845968633,0.15387961242190548,0.13429997848268127,0.15387961238255382,0.13429997843021238,0.5274948546915296,0.5553461614758977,0.5397924518944653,0.41192097641055553,0.2339187892056094
