statistic,overlap_at_N,overlap_at_50,overlap_at_100,overlap_at_200,overlap_at_500,precision_at_N,precision_at_50,precision_at_100,precision_at_200,precision_at_500,de_spearman_sig,de_direction_match,de_spearman_lfc_sig,de_sig_genes_recall,de_nsig_counts_real,de_nsig_counts_pred,pr_auc,roc_auc,pearson_delta,mse,mae,mse_delta,mae_delta,discrimination_score_l1,discrimination_score_l2,discrimination_score_cosine,pearson_edistance,clustering_agreement
count,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0,1137.0
null_count,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mean,0.23286943370316485,0.03699208443271768,0.06427719109296041,0.09528398147972472,0.16433981799586636,0.3058916315265169,0.03699208443271768,0.06429199648197009,0.09523306948109059,0.1605857519788918,0.18983994672836682,0.47936765722507874,0.34505735396726206,0.9977246698956788,611.5672823218997,1995.618293755497,0.30510469458499406,0.49776048087900776,0.2134438754109186,0.03692195726609351,0.06489895967309582,0.03692195732343087,0.06489895976811202,0.6086648117335735,0.5607250792678351,0.5627115130390656,0.0961865802374281,0.29330195986067004
std,0.13220532055417195,0.028797999257453653,0.02719609406835617,0.02436126294319438,0.039671082255635856,0.13431951437917883,0.028797999257453653,0.027167565861353382,0.024299394963405933,0.04337201799204778,1.2379847427777154e-17,0.10528168748094652,0.23298842821460378,0.0030514301840303486,268.17627608603226,21.062038215146895,0.13457531887293547,0.008901458716108895,0.2678156471215856,0.055904750541131,0.031050659807090257,0.055904750821955,0.031050659966670054,0.28457916278738166,0.2938357307379131,0.30036607162530127,6.189923713888577e-18,0.0
min,0.0,0.0,0.0,0.0,0.0,0.007625826131164209,0.0,0.0,0.005,0.01,0.18983994672836685,0.126775956284153,-0.5059755545486294,0.9701492537313433,15.0,1801.0,0.007995735607675906,0.4587750200585551,-0.6072045564651489,0.011549543589353561,0.04626261070370674,0.011549543589353561,0.04626261070370674,0.006156552330694787,0.0008795074758135568,0.0017590149516271136,0.09618658023742813,0.29330195986067004
25%,0.1417624521072797,0.02,0.05,0.08,0.13909774436090225,0.20630946419629445,0.02,0.05,0.08,0.132,0.18983994672836685,0.3931947069943289,0.1830778412704627,0.9968944099378882,413.0,1998.0,0.20530892968929584,0.4952643643416711,-0.004367511253803968,0.0184544138610363,0.05520951375365257,0.0184544138610363,0.05520951375365257,0.38698328935795956,0.3183817062445031,0.29199648197009676,0.09618658023742813,0.29330195986067004
50%,0.18127490039840638,0.04,0.06,0.095,0.1648590021691974,0.2665,0.04,0.06,0.095,0.164,0.18983994672836685,0.4807121661721068,0.38502967943974703,0.998371335504886,534.0,1999.0,0.2659029738119355,0.49701492537313435,0.2776198089122772,0.022725563496351242,0.05867915228009224,0.022725563496351242,0.05867915228009224,0.6552330694810906,0.5919085312225154,0.5866314863676341,0.09618658023742813,0.29330195986067004
75%,0.29595375722543354,0.06,0.08,0.11,0.188,0.3835,0.06,0.08,0.11,0.188,0.18983994672836685,0.5625,0.5374529400969569,1.0,766.0,1999.0,0.382457561311298,0.49847439916405434,0.4349498152732849,0.03270735219120979,0.06329526752233505,0.03270735219120979,0.06329526752233505,0.8583992963940194,0.8232189973614776,0.8443271767810027,0.09618658023742813,0.29330195986067004
max,0.818955042527339,0.2,0.16,0.19,0.318,0.822911455727864,0.2,0.16,0.19,0.318,0.18983994672836685,0.8264840182648402,0.7736052358528215,1.0,1646.0,2000.0,0.8227344243443737,0.5717096018735363,0.7943828105926514,0.4508103132247925,0.29356279969215393,0.4508103132247925,0.29356279969215393,1.0,1.0,1.0,0.09618658023742813,0.29330195986067004
